Tanggal,Saham_BBCA
19/01/2022,7675
18/01/2022,7675
17/01/2022,7750
14/01/2022,7850
13/01/2022,7700
12/1/2022,7700
11/1/2022,7700
10/1/2022,7600
7/1/2022,7650
6/1/2022,7475
5/1/2022,7450
4/1/2022,7400
3/1/2022,7325
30/12/2021,7300
29/12/2021,7300
28/12/2021,7350
27/12/2021,7350
24/12/2021,7300
23/12/2021,7300
22/12/2021,7325
21/12/2021,7375
20/12/2021,7375
17/12/2021,7500
16/12/2021,7275
15/12/2021,7300
14/12/2021,7300
13/12/2021,7300
10/12/2021,7375
9/12/2021,7350
8/12/2021,7425
7/12/2021,7350
6/12/2021,7350
3/12/2021,7375
2/12/2021,7500
1/12/2021,7300
30/11/2021,7275
29/11/2021,7400
26/11/2021,7275
25/11/2021,7425
24/11/2021,7475
23/11/2021,7475
22/11/2021,7475
19/11/2021,7425
18/11/2021,7400
17/11/2021,7575
16/11/2021,7475
15/11/2021,7500
12/11/2021,7525
11/11/2021,7675
10/11/2021,7650
9/11/2021,7675
8/11/2021,7575
5/11/2021,7450
4/11/2021,7375
3/11/2021,7350
2/11/2021,7300
1/11/2021,7400
29/10/2021,7475
28/10/2021,7375
27/10/2021,7450
26/10/2021,7525
25/10/2021,7525
22/10/2021,7525
21/10/2021,7400
19/10/2021,7500
18/10/2021,7525
15/10/2021,7650
14/10/2021,7750
13/10/2021,7525
12/10/2021,7320
11/10/2021,7255
8/10/2021,7290
7/10/2021,7160
6/10/2021,7180
5/10/2021,6945
4/10/2021,6960
1/10/2021,6760
30/09/2021,7000
29/09/2021,6580
28/09/2021,6520
27/09/2021,6580
24/09/2021,6585
23/09/2021,6580
22/09/2021,6555
21/09/2021,6490
20/09/2021,6585
17/09/2021,6520
16/09/2021,6500
15/09/2021,6495
14/09/2021,6545
13/09/2021,6555
10/9/2021,6520
9/9/2021,6570
8/9/2021,6440
7/9/2021,6570
6/9/2021,6575
3/9/2021,6600
2/9/2021,6540
1/9/2021,6565
31/08/2021,6550
30/08/2021,6565
27/08/2021,6510
26/08/2021,6560
25/08/2021,6600
24/08/2021,6600
23/08/2021,6590
20/08/2021,6600
19/08/2021,6600
18/08/2021,6600
16/08/2021,6420
13/08/2021,6410
12/8/2021,6300
10/8/2021,6300
9/8/2021,6200
6/8/2021,6160
5/8/2021,6300
4/8/2021,6120
3/8/2021,6145
2/8/2021,5960
30/07/2021,5970
29/07/2021,6040
28/07/2021,5980
27/07/2021,6005
26/07/2021,6005
23/07/2021,6035
22/07/2021,6155
21/07/2021,6010
19/07/2021,6005
16/07/2021,6110
15/07/2021,6115
14/07/2021,5990
13/07/2021,6045
12/7/2021,6170
9/7/2021,6020
8/7/2021,6015
7/7/2021,6065
6/7/2021,6055
5/7/2021,6110
2/7/2021,6100
1/7/2021,6025
30/06/2021,6025
29/06/2021,6045
28/06/2021,6055
25/06/2021,6190
24/06/2021,6210
23/06/2021,6230
22/06/2021,6340
21/06/2021,6250
18/06/2021,6325
17/06/2021,6330
16/06/2021,6385
15/06/2021,6470
14/06/2021,6410
11/6/2021,6470
10/6/2021,6620
9/6/2021,6530
8/6/2021,6430
7/6/2021,6530
4/6/2021,6580
3/6/2021,6600
2/6/2021,6465
31/05/2021,6375
28/05/2021,6340
27/05/2021,6270
25/05/2021,6355
24/05/2021,6325
21/05/2021,6360
20/05/2021,6380
19/05/2021,6345
18/05/2021,6390
17/05/2021,6500
11/5/2021,6480
10/5/2021,6420
7/5/2021,6400
6/5/2021,6425
5/5/2021,6425
4/5/2021,6400
3/5/2021,6390
30/04/2021,6405
29/04/2021,6410
28/04/2021,6320
27/04/2021,6405
26/04/2021,6285
23/04/2021,6390
22/04/2021,6215
21/04/2021,6165
20/04/2021,6235
19/04/2021,6270
16/04/2021,6275
15/04/2021,6280
14/04/2021,6305
13/04/2021,6000
12/4/2021,6065
9/4/2021,6200
8/4/2021,6135
7/4/2021,6250
6/4/2021,6165
5/4/2021,6155
1/4/2021,6225
31/03/2021,6215
30/03/2021,6395
29/03/2021,6360
26/03/2021,6415
25/03/2021,6370
24/03/2021,6440
23/03/2021,6565
22/03/2021,6620
19/03/2021,6760
18/03/2021,6705
17/03/2021,6610
16/03/2021,6625
15/03/2021,6665
12/3/2021,6765
10/3/2021,6705
9/3/2021,6605
8/3/2021,6720
5/3/2021,6800
4/3/2021,6720
3/3/2021,7000
2/3/2021,7015
1/3/2021,7045
26/02/2021,6710
25/02/2021,6705
24/02/2021,6725
23/02/2021,6825
22/02/2021,6790
19/02/2021,6825
18/02/2021,6735
17/02/2021,6900
16/02/2021,6940
15/02/2021,6800
11/2/2021,6880
10/2/2021,6920
9/2/2021,6980
8/2/2021,6920
5/2/2021,6915
4/2/2021,6855
3/2/2021,6825
2/2/2021,6800
1/2/2021,6820
29/01/2021,6760
28/01/2021,6900
27/01/2021,6790
26/01/2021,6820
25/01/2021,7035
22/01/2021,7080
21/01/2021,7075
20/01/2021,7095
19/01/2021,7095
18/01/2021,7120
15/01/2021,6955
